Original_Review,측면 및 감성 추출,label
"팬케이크 위에 올라간 얼그레이 크림이 킥이에요 넘 맛있음 수플레도 비리지도 않고 퐁신퐁신 최고","기타디저트(긍정)","000001000000"
"아이스크림은 괜찮았으나 직원이 불친절","기타디저트(긍정), 서비스(부정)","000001002000"
"웨이팅 등록 후 근처에서 놀다가 방문했는데 너무 맛있어요 특히 기본 도넛을 강추합니다!","기타디저트(긍정), 혼잡도_웨이팅(중립)","000001000003"
"스트라파차또와 솔티카라멜에스프레소가 맛있어요. ... 늘 친절하게 맞아주셔서 기분 좋게 마시고 나와요!","커피음료(긍정), 서비스(긍정)","100000001000"
"치즈 타르트 정말 맛있습니다)","기타디저트(긍정)","000001000000"
"기장쌀 깜빠뉴는 처음 구매해봤는데... 정말 고소하고 맛있어요. 무화과 깜빠뉴는... 간식으로 좋고, 기장쌀 깜빠뉴는 밥대신 먹기 훌륭해요.","베이커리빵(긍정)","010000000000"
"양이 적지만 커피가 맛잇어요","커피음료(긍정), 가격가성비(부정)","100000000200"
"우연히 들어왔는데 아이스티 주문해써요 맛있고 깔끔네요","커피음료(긍정)","100000000000"
"쿠키 반죽이 너무 훌륭하더라구요... 정말 맛있었어요 직원분들도 너무 밝고 친절하셔서 기분 좋은 방문이었습니다.","쿠키구움과자(긍정), 서비스(긍정)","000100001000"
"아인슈페너 .한라봉에이드 플레인 크로플 주문했어요... 여자들 취향저격카페 예요 아인슈페너맛집","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정)","100001010000"
"내부인테리어가 너무 이쁘고 사진도 잘나와서 좋았습니다 사장님이 친절하시고 커피랑 티라미수 넘 맛있었어요","커피음료(긍정), 케이크(긍정), 분위기감성(긍정), 서비스(긍정)","101000011000"
"수플레 맛집이예요 부드럽고 폭신하니 너무 맛있어요 늦게까지 해서 더좋아요","기타디저트(긍정), 서비스(긍정)","000001001000"
"애플파이 바삭하고 너무 맛있어요! 직원분들도 친절함","베이커리빵(긍정), 서비스(긍정)","010000001000"
"친구랑 데이트하기 너무 좋았어요 소중한 추억 하나 만들고 갑니다","분위기감성(긍정)","000000010000"
"책을 읽다보니 생각보다 시간이 짧았어요 명상도 하고싶었는데!","서비스(부정)","000000002000"
"지나가다 들렸는데 너무 바삭해서 맛있어요 코코넛 크림 진짜 존맛 .. 그리고 엄청 친절해서 기분 좋았어요!!","기타디저트(긍정), 서비스(긍정)","000001001000"
"분위기좋아요 11시까지 영업해서 좋아요","분위기감성(긍정), 서비스(긍정)","000000011000"
"개성이고 깔끔한 공간이 좋아요. 커피, 치즈케이크 무난하게 맛있어요. 루프탑 높고 탁 트여서 좋아요","커피음료(긍정), 케이크(긍정), 공간편의시설(긍정), 분위기감성(긍정)","101000110000"
"피넛버터 구매하러 갔는데 진짜 대애박... 가격도 250g에 9500원 제 생각보다 저렴했구요! 선물용으로도 좋을거같아요!?","베이커리빵(긍정), 가격가성비(긍정), 선물포장(긍정)","010000000110"
"커피하고 빵 맛있어요. 여러번 방문했는데 또 갈거임","커피음료(긍정), 베이커리빵(긍정)","110000000000"
"카페크레마 부드럽고 맛있어요 ... 콘판나케이크는 입안에서 사르르 녹으며 단맛이 혀를 휘감네요","커피음료(긍정), 케이크(긍정)","101000000000"
"카페가 이쁘고 좋아요!! 아담해서 지인 선물할때도 좋은거 같아요!!","공간편의시설(부정), 분위기감성(긍정), 선물포장(긍정)",000000210010
"얼린 망고가 아니라 생망고라 좋아요!! 소금빵도 속이 쫀득하니 맛있어요","베이커리빵(긍정), 빙수과일(긍정)",010010000000
"케이크에 크림이 듬뿍 있었는데 크림이 되게 부드럽도 맛있었고, 딸기도 상큼했어용!... 캐릭터가 네모여서 보는 재미도 있었구 인테리어도 예뻤어용!","커피음료(긍정), 케이크(긍정), 분위기감성(긍정), 혼잡도_웨이팅(중립)",101000010003
"커피 비싸지만 맛있어요. 그러나 매장 내 트레이가 없어서 그냥 컵을 들고 가래요.","커피음료(긍정), 공간편의시설(부정), 가격가성비(부정)",100000200200
"케이크가 너무 맛있어요 ! 운 좋게 대기도 없이 들어왔답니다아","케이크(긍정), 혼잡도_웨이팅(긍정)",001000000001
"밀크티도 많이 안달아서 케익과 먹기 넘 좋았구요. 직원분들도 친절하시고 잘 쉬다 갑니다","커피음료(긍정), 케이크(긍정), 서비스(긍정)",101000001000
"누텔라 마시멜로 너무맛있어요","기타디저트(긍정)",000001000000
"프레지에 넘 맛있어요... 여기 프레지에 먹으면 딴 곳에서 못 먹어요!","케이크(긍정)",001000000000
"이렇게 맛있는 소금빵 처음 먹어봐요... 겉은 바삭 속은 부드럽고 촉촉하고... 바닥부분은 크런치하고... 재방문의사 200 !!","베이커리빵(긍정), 혼잡도_웨이팅(긍정)",010000000001
"개성주악 제 취저네용 달달해요","기타디저트(긍정)",000001000000
"수업전 피곤함을 달래줄 티나 커피를 구입하곤 해요. 테이크아웃만 해서 테이블이 있는 2층과 3층이 어떤지 모르겠어요.","커피음료(긍정)",100000000000
"늦게 먹었지만 하나도 눅눅하지 않은 바삭한 바게트를 먹을수 있었어요","베이커리빵(긍정)",010000000000
"친구 추천으로 왔는데 분위기도 좋고 맛있어용)","분위기감성(긍정)",000000010000
"땅콩러버에겐 최고의 카페!! 토스트 한번씩 먹어보세요","베이커리빵(긍정)",010000000000
"매장도 예쁘고 쿠키도 다양하고 예뻐요 구욱희씨만의 특별한 쿠키가 많은 것 같아요","쿠키구움과자(긍정), 분위기감성(긍정)",000100010000
"고양이도 귀엽고 너무 아름다운 공간입니다 직원분들도 친절하시고 내부가 아늑해서... 커피 맛도 좋아요","커피음료(긍정), 공간편의시설(긍정), 분위기감성(긍정), 서비스(긍정)",100000111000
"치즈 플래터는 친구 추천으로 먹었는데 푸짐하고 넘 맛있어요!!! 일단 와인이 넘 저렴....","기타디저트(긍정), 가격가성비(긍정)",000001000100
"쌀알모양, 도토리 모양도 너무 귀여운데... 너무 맛있어요 발로나 초코!!","커피음료(긍정), 기타디저트(긍정), 서비스(긍정)",100001001000
"성수오면 꼭 오는 카페이고 케익 먹으러 또 오는 곳이에요 )","케이크(긍정)",001000000000
"커피도 토스트도 너무 맛있어요!!! 쾌적하고 분위기도 좋아용 사장님도 친절하세여","커피음료(긍정), 베이커리빵(긍정), 공간편의시설(긍정), 분위기감성(긍정), 서비스(긍정)",110000111000
"하이라인라떼랑 비스코티세트 먹었는데... 엄청난 커피맛집은 아니지만 감각적인 느낌으로 즐기기에 충분히 좋았습니다","커피음료(긍정), 쿠키구움과자(긍정), 분위기감성(긍정)",100100010000
"위스키아이스크림 색다른 경험! 너무 맛있습니다.","기타디저트(긍정)",000001000000
"붕어빵소금빵 너무 먹고 싶었는데 맛있네요! 망고빙수도 최고입니다 성수에서 핫플 맛집입니다!","베이커리빵(긍정), 빙수과일(긍정)",010010000000
"일일일 스벅방문 스타벅스 친절하고 맛도 좋아요","커피음료(긍정), 서비스(긍정)",100000001000
"친절하시구 휘낭시에도 너무 맛있어요","쿠키구움과자(긍정), 서비스(긍정)",000100001000
"매장 분위기 너무 좋아요... 피치라떼 완전 맛있어용 아메리카노도 맛있고 원두가 좋은 원두 같아용","커피음료(긍정), 분위기감성(긍정)",100000010000
"조명이예쁘고 사진도잘나오고 커피도 맛있어요 분위기도 좋구요 실내내부가 조금 더운것 같아요","커피음료(긍정), 공간편의시설(부정), 분위기감성(긍정)",100000210000
"아이스라떼는 고소하고 진한맛으로 왜 시그니처음료인지 알 수 있었어요 놀라플로트는... 위에 올려진 아이스크림이 정말 맛있었고","커피음료(긍정), 기타디저트(긍정)",100001000000
"해방촌 커피 마셨는데 넘나 귀엽고 맛있었어요!","커피음료(긍정)",100000000000
"딸기 크루와상이랑 초코 카눌레 먹었는데 둘 다 진짜 너무 맛있었어요! ... 주말엔 북적북적합니다.","베이커리빵(긍정), 쿠키구움과자(긍정), 혼잡도_웨이팅(부정)",010100000002
"예전부터 와보규 싶었던 곳인데 커피가 맛있어요!! 2층 뷰도 좋고 분위기도 좋았어요!!","커피음료(긍정), 분위기감성(긍정)",100000010000
"와 레드벨벳 케익 꼭 드셔보세요!!! 역대급 좐맛","케이크(긍정)",001000000000
"케이크 사러 들렀는데 너뮤 예뻐요 !! 다음에와서 과일케이크 먹어야겠습니다 !","케이크(긍정), 분위기감성(긍정)",001000010000
"오믈렛이랑 베이컨 진짜 맛있었음","베이커리빵(긍정)",010000000000
"사장님도 굉장히 친절하시고... 바닐라 커스터드 프렌치 토스트 진짜진짜진짜 맛있어요 입에서 살살 녹습니다","베이커리빵(긍정), 서비스(긍정)",010000001000
"저번엔 망고 이번엔 복숭아로 사가요","기타디저트(긍정), 선물포장(긍정)",000001000010
"츄로넛이 쫀득하고 맛있어요 !","기타디저트(긍정)",000001000000
"망고빙수 존맛탱 너무더웠는데 너무짜증났는데 바로 사르르!!!","빙수과일(긍정)",000010000000
"친절했던 블루보틀 오랜만에 맛있었어요!!","서비스(긍정)",000000001000
"비오는 날 맛있는 커피와 빵 2층 창가에 앉으니 좋았어요","커피음료(긍정), 베이커리빵(긍정), 공간편의시설(긍정)",110000100000
"레몬티를 마셨는데 다른카페보다 진하네요","커피음료(긍정)",100000000000
"독보적으로 버터가 가득한 !!! 맛이예요 소금빵 정말 많이 먹었지만 이렇게 빠삭하고 버터많은건...","베이커리빵(긍정)",010000000000
"콘센트 및 와이파이정도는 기본적으로 지원이 되어야하는데 되는게 하나도 없습니다. ... 커피 및 베이커리는 그냥 평범한 수준입니다. 직원들도 불친절하며","커피음료(중립), 베이커리빵(중립), 공간편의시설(부정), 서비스(부정)",330000202000
"남자친구랑 왔는뎅 분위기 넘 조으네요","분위기감성(긍정)",000000010000
"개성주악에 대해 설명해줘서 흥미를 갖고 들어가보았어요. 인테리어도 예쁘고 디저트도 너무 예쁘네요.","기타디저트(긍정), 분위기감성(긍정)",000001010000
"디저트가 맛있고 화이트 인테리어라 이쁘네요!! 음료는 쏘쏘 테린느 기대하고왔는데 맛있네요!!","커피음료(중립), 기타디저트(긍정), 분위기감성(긍정)",300001010000
"분위기도 예쁘고 수플레 맛집","기타디저트(긍정), 분위기감성(긍정)",000001010000
"우드쿠키를 이틀 연속으로 먹어보게 되었습니다... 발로나 초콜릿으로 만들었다고 나와있네요... 부담없이 즐기실 수 있을거에요.","쿠키구움과자(긍정)",000100000000
"수플레 팬케이크가 넘 먹고 싶다고 해서 방문했는데... 저는 특히 홍차 아인슈페너가 너무너무 맛있었어요!","커피음료(긍정), 기타디저트(긍정)",100001000000
"깜빠뉴는 서울에서 젤로 맛있습니다!!","베이커리빵(긍정)",010000000000
"비즈니스 미팅에 딱입니다. 감미로운 음악과 함께 잘 이용했어요","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"카페도 예쁘고 커피도 독특하구 맛있어요 소품이 하나하나 멋져서 사진 맛집입니다","커피음료(긍정), 분위기감성(긍정)",100000010000
"뚝섬역 케이크 카페 네모네 인테리어도 귀엽고 딸기케미크 맛있어욤","케이크(긍정), 분위기감성(긍정)",001000010000
"빵은 카라멜 바나나슈 빵이 너무 달아요. 메뉴를 잘 골라야 할듯해요.","베이커리빵(중립)",030000000000
"맥코이 라테... . 주기적으로 수혈해줘야 해요 진하고 맛있슴돠. ... 아침에 일찍 오픈해서 조용히 마시다 가기도 좋음","커피음료(긍정), 서비스(긍정), 혼잡도_웨이팅(긍정)",100000001001
"아메리카노는 진하게 내려져... 향이 좋았습니다. 작당모의 티라미수는... 부드러운 생크림 맛이 두드러졌고... 자몽베리에이드는 과하게 달지 않아... 테이블에서 행주 냄새가 조금 나서 아쉬웠습니다.","커피음료(긍정), 케이크(긍정), 공간편의시설(부정), 분위기감성(긍정)",101000210000
"바삭바삭 맛있어요 성수 맛집","대상 모호(긍정)",000000000000
"명절때 두고드고 먹을 베이글 사왔어요","베이커리빵(긍정), 선물포장(긍정)",010000000010
"새 물감에, 재료도 충분하고 깔끔한 시설과 너무 모든게 잘 되어있어서 재밌게 놀다갑니당) 재료도 새거구 이정도면 가성비 짱인거같아용!!!","공간편의시설(긍정), 가격가성비(긍정)",000000100100
"얼그레이크림 너무 맛잇네요! 휘낭시에도 버터맛 좔좔","쿠키구움과자(긍정), 기타디저트(긍정)",000101000000
"처음먹어봤는데 전병 풍미가 대단하네요","쿠키구움과자(긍정)",000100000000
"공간 자체가 엄청 힙하고 멋있어서 놀랐네요 근데 기대했던 것 보다는 약간 끝맛이 조금 텁텁해서 아쉬웠어요... 얼음이 조금 많아유...","커피음료(중립), 공간편의시설(긍정), 분위기감성(긍정)",300000110000
"커피 맛도 좋고! 소금빵도 갓나올때 먹으니 넘 맛있엇어요! 평일에 한적해서 좋아요","커피음료(긍정), 베이커리빵(긍정), 혼잡도_웨이팅(긍정)",110000000001
"디저트가 너무 맛있어서 사진찍을겨를도없이 흡입했어요 사장님도 너무너무너무 친절하시구용","기타디저트(긍정), 서비스(긍정)",000001001000
"2층은 무척 조용한데 1층은 시끌벅적했어요 일찍가면 빵 종류도 많아서 좋네요.","베이커리빵(긍정), 공간편의시설(중립), 혼잡도_웨이팅(부정)",010000300002
"티라미수랑 민트아이슈페너 맛있어요. 다음에는 푸딩 먹으려고요.","커피음료(긍정), 케이크(긍정)",101000000000
"얼그레이케이크가 너무너무 마싯고 공간도 딱 적당해서 친구들이랑 다같이 와서 수다 떨기도 좋앗어요","케이크(긍정), 공간편의시설(긍정)",001000100000
"망고빙수랑 수박주스 먹었는데 너무 맛있어요","커피음료(긍정), 빙수과일(긍정)",100010000000
"물감으로 그림그리고 붓질하는거라 다만 음료가 많이 늦었고 스탭들이 바쁘신게 단점","커피음료(중립), 서비스(부정)",300000002000
"매장 넓고 잠시 쉬어가기 좋아요","공간편의시설(긍정)",000000100000
"분위기 너무좋고 메뉴도 다양해서 좋아요 처음먹어보는 조합이라 궁금했는데","분위기감성(긍정)",000000010000
"커피도 맛있고, 최애 얼그레이무화과가 너무 맛있어요","커피음료(긍정), 기타디저트(긍정)",100001000000
"단백질 베이글은... 단백질파우더맛이 아주 강해서 놀랐습니다... 할미 케이크는... 하나도! 안 다니까 참고해주세요... 커피는 원두를 고를 수 있는데 산미있는 원두도 씁쓸함이 같이 느껴져요.","커피음료(중립), 베이커리빵(중립), 케이크(중립)",333000000000
"매장이 넘 귀엽고 예뻐요 빙수도 맛있어요!! 대기는 많은데 안오시는 분들도 많아서 금방금방 빠져요!","빙수과일(긍정), 분위기감성(긍정), 혼잡도_웨이팅(중립)",000010010003
"여기만 있는 포레누아 빙수 강추합니다!!!","빙수과일(긍정)",000010000000
"식사류에 포함되는 샐러드나 브런치류 같이 시키면 실내에서 취식 가능해서 좋네요.","베이커리빵(긍정), 공간편의시설(긍정)",010000100000
"한번쯤 가볼만한... 그렇다고 막 특별하진 않아요!","대상 모호(중립)",000000000000
"딸기케이크랑 밀크레이프 너무 맛있어요... 이메리카노는 진하게 해도 많이 안 쓰고 조았어욤","커피음료(긍정), 케이크(긍정)",101000000000
"라떼 맛집이라 해서 들렀어요. 원두도 선택 가능해요! 우유 온도도 적당하고 폼도 부드러워서 맛있었어요","커피음료(긍정)",100000000000
"오믈렛하고 요거트 보울이 제일 맛있어요!!","베이커리빵(긍정), 기타디저트(긍정)",010001000000
"맛있는 망고 빙수 맛집 찾아 먹으러 온 곳 소금빵은 개수제한 있고 포장 할수 있어요 내부 인테리어 구성이 좋아서 더 맘에 들어용","베이커리빵(긍정), 빙수과일(긍정), 분위기감성(긍정), 선물포장(긍정)",010010010010
"그라니따 엄청 맛있어요!! 직원분들이 친절하셔서 좋았네요 매장이 예뻐서 사진찍기도 좋은거 같아용","커피음료(긍정), 분위기감성(긍정), 서비스(긍정)",100000011000
"맛있지만, 네개는 많을때가 있어요. 두개정도씩도 판매했으면 좋겠어요.","베이커리빵(긍정), 가격가성비(부정)",010000000200
"프롤라 시그니처 에스프레소 티라미수 먹었는데... 마스카포네 치즈 크림 쌱올려 먹으니 이곳이 무릉도원이 아니겠어요?! 심지어 한 개 더 리필도 해주시고","커피음료(긍정), 케이크(긍정), 서비스(긍정)",101000001000
"따뜻한 아메리카노가 맛잇었구요 다양한 분야의 도서들이 있어서 선택의 폭이 넓었고 분위기가 차분해서 좋아요","커피음료(긍정), 분위기감성(긍정)",100000010000
"토스트가 피넛버터가 이렇게 꾸덕하게 발려있는데 이 가격이라니..!!! 인스타보고 혹해서 처음 와 봤는데 너무 맛있어요!!","베이커리빵(긍정), 가격가성비(긍정)",010000000100
"휘낭시에 너무 달지도않고 너무 맛있어요!! 100개도 들어갈 것 같아요 푸딩도 진짜 맛있어용 최고","쿠키구움과자(긍정), 기타디저트(긍정)",000101000000
"대만친구가 가고 싶어서 왔는데 네모라때랑 피스터치오 케이크 재미있어했어요!!","커피음료(긍정), 케이크(긍정)",101000000000
"겹이 잘 느껴지고 너무 맛있게 잘 먹었습니다!","대상 모호(긍정)",000000000000
"언제나 와도 편안하고 맛나요)","대상 모호(긍정)",000000000000
"미국이랑 일본에서 먹었던 맛이랑은 조금 다르네요 우유는 상하목장이라 좋았습니다","커피음료(중립)",300000000000
"소금빵이 맛잇고 밝고 화려햐요! 커피는 나쁘지않은데 초코쪽은 시럽맛.","커피음료(중립), 베이커리빵(긍정), 분위기감성(긍정)",310000010000
"빵이 맛있고 쫀득해요... 자두에이드도 상쿰하게 맛있네용!!","커피음료(긍정), 베이커리빵(긍정)",110000000000
"매장 자리 여유있고 케이크도 맛있게 먹었어요 화장실도 깨끗했구요!","케이크(긍정), 공간편의시설(긍정)",001000100000
"개성주악 중독성 있고 맛있어요!","기타디저트(긍정)",000001000000
"동네아지트너낌. 커피도맛있고. 친절하시고.","커피음료(긍정), 서비스(긍정)",100000001000
"한식 디저트 카페가 있다니 진짜 신기했고 이색 카페로 자주오고 싶어요!","기타디저트(긍정), 분위기감성(긍정)",000001010000
"만들어주신분이 손흥민 닮으셔서 깜놀했어요 엄청 친절하시고 좋았습니다","서비스(긍정)",000000001000
"메뉴가 빨리나와서 좋았습니다","서비스(긍정)",000000001000
"손님이 많아서 자리잡기 힘들지만 맛있어요 생일선물로 커피도구들 사기 좋아요","대상 모호(긍정), 혼잡도_웨이팅(부정)",000000000002
"울적해서 마실나왔는데 친절한응닥에 기분이 업되었어요 감사해요","서비스(긍정)",000000001000
"입구부터 카페의 컨셉이 독특해서 좋았어요 디저트도 다양하고 진철하고 너무 좋았아요","기타디저트(긍정), 분위기감성(긍정), 서비스(긍정)",000001011000
"요새 커피 종류별로 먹어보는데 다 맛있어요","커피음료(긍정)",100000000000
"딸기연유라떼 진심 찐으로 맛있어요. ... 사장님 죄송해요 다음에 많이 사먹으러 올게요","커피음료(긍정), 서비스(긍정)",100000001000
"특이한 컨셉의 디저트가 있어서 방문했는데 맛있어요! 매장도 깔끔하고 인테리어 및 분위기도 좋고","기타디저트(긍정), 공간편의시설(긍정), 분위기감성(긍정)",000001110000
"저게! 다 치즈케이크 라는 거 저 베이글 모양이 치즈케이크구요... 가격은 조금 비싼편인데 케이크 양 생각하면 막 비싼 건 아니구요 무엇보다 사장님이 증말증말 친절하세요 커피도 맛있어요!","커피음료(긍정), 케이크(긍정), 서비스(긍정), 가격가성비(중립)",101000001300
"망고빙수 너무 좋아요. 항상 여기 오면 먹어요.","빙수과일(긍정)",000010000000
"연말에 3주 연속 주문했는데 질리지 않아요 최고의 케이크!","케이크(긍정)",001000000000
"맛있고 좋아요 다음에 또 오고 싶어용!!","대상 모호(긍정)",000000000000
"아이와 시간보내기 좋았어요. 직원분 친절하시고 내부도 깔끔했고요. 물감 색이 더 다양했음 좋겠다 싶었어요. 음악이 좀 시끄러워 아쉬웠고요. 생각보다 넓지않아...","공간편의시설(중립), 분위기감성(부정), 서비스(긍정), 혼잡도_웨이팅(부정)",000000321002
"운 좋게 갓 구워져 나온 크루키를 먹게됐는데 진짜... 너무 맛있었어요... 사장님두 직원분들두 너무나두 친절하시어서... 토마토바질에이드도 영원히 해주시길...","커피음료(긍정), 쿠키구움과자(긍정), 분위기감성(긍정), 서비스(긍정)",100100011000
"맛, 분위기, 친절, 뭐 하나 빠지는게 없네요!","분위기감성(긍정), 서비스(긍정)",000000011000
"말차 수플레 퐁신퐁신하고 맛있어요 !!","기타디저트(긍정)",000001000000
"메론프로슈토빙수가 있다고 해서 와봤는데 양도 많고 맛있었어요 ... 젊은 사장님이셨는데 넘 친절하셨어요!","빙수과일(긍정), 서비스(긍정), 가격가성비(긍정)",000010001100
"가게 이쁘고 직원이 친절해요 아직먹기전이지만 맛있겠죠","분위기감성(긍정), 서비스(긍정)",000000011000
"인테리어가 정말 아름답고 세련됐습니다. 카페 메뉴도 전반적으로 맛이 훌륭했고, 특히 서비스로 제공된 바닐라 젤라또가 진하고 부드러워 인상적이었어요.","기타디저트(긍정), 분위기감성(긍정), 서비스(긍정)",000001011000
"베이글 맛집이라서 와봤는데 역시 맛있어요! 점심먹어야해서 크림브륄레 하나만 먹었는데 크림치즈그 너무 맛있어요! 그래서 다른맛들도 포장해가려구여","베이커리빵(긍정), 선물포장(긍정)",010000000010
"분위기도 좋고 책도 많아요. 자주 오고싶어요","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"블루보틀은 처음인데 커피도 분위기도 좋습니다.","커피음료(긍정), 분위기감성(긍정)",100000010000
"커피가 맛있어서 점심시간에 자주와요!","커피음료(긍정)",100000000000
"빙수 맛집이였더라구요! ... 얼그레이 레몬아이스티랑 파르페가 진짜 맛있어요! 사장님도 너무 친절하시고 카페 분위기도 너무 좋았어요","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정), 서비스(긍정)",100001011000
"커피랑 디저트는 맛있는데 테이블 청소나 소독이 전혀 되지않는 곳인것같아요... 이점 빼고는 좋았던것 같습니다","커피음료(긍정), 기타디저트(긍정), 공간편의시설(부정), 서비스(부정)",100001202000
"옥수수 치즈케이크가 너무 맛있었어요. 추천합니당 직원분들도 너무 친절하셔서 기분까지 좋아졌네요 !! 인테리어도 예뻐서 사진 잘 나와서 대 만족","케이크(긍정), 분위기감성(긍정), 서비스(긍정)",001000011000
"딸기케이크 너무 맛있고 딸기도 왕창 들어잇어요!!!!! 딸기라떼도 맛나요!!! 카페가 넓고 클스마스 분위기 나서 조아요","커피음료(긍정), 케이크(긍정), 공간편의시설(긍정), 분위기감성(긍정)",101000110000
"유익한 시간이었고... 지브랄타를 직접 만들어 보는 것도 색다름 경험이었구요.","서비스(긍정)",000000001000
"팬케이크 따뜻몽글퐁실. . 너무너무 맛있구 좋습니다! 가게도 시끄럽지 않아서 이야기 하기 너무 좋구 일하시는 분들도 짱 친절하세요","기타디저트(긍정), 분위기감성(긍정), 서비스(긍정)",000001011000
"출근하면서 매일 도장 찍는 카페입니다 사장님이 항상 반갑게 맞아주셔서 즐거운 하루를 시작할 수 있습니다","서비스(긍정)",000000001000
"역 바로 앞에 있어서 접근성이 좋구 빵 종류도 많아요 커피도 맛있네용 디저트 다 맛있구 추천합니당","커피음료(긍정), 베이커리빵(긍정), 기타디저트(긍정), 공간편의시설(긍정)",110001100000
"차근차근 깔끔하게 알려주셔서 너무 좋았어요. 친구들연인들과 함께하기 딱 좋아","서비스(긍정)",000000001000
"유정란 순우유 타르트 먹어봤는데 부드럽고 고소한 맛이 입안에 퍼져서 좋았어요 한입 베어 물면 타르트 특유의 달콤함이 느껴져요","쿠키구움과자(긍정)",000100000000
"대형견 실내동반 가능합니다 만년설커피 아인슈페너같고 맛있어요! 반려견과 방문시 물도 제공해주십니다.","커피음료(긍정), 공간편의시설(긍정), 서비스(긍정)",100000101000
"휘낭시에 굽는 동안 담는 통도 꾸밀 수 있어서 더 재밌는 것 같아요... 그리고 휘낭시에가 진짜!!!! 맛있었어요","쿠키구움과자(긍정), 서비스(긍정)",000100001000
"커피는 다크블랜딩인듯해요. 그렇다고 쓴맛이 강하지 않아서 뜨아를 즐기기에 나쁘지 않네요. 인테리어는 힙한 느낌...","커피음료(긍정), 분위기감성(긍정)",100000010000
"가격 대비 뛰어난건 딱히 모르겠는데 그냥 소금빵입니다.","베이커리빵(중립), 가격가성비(부정)",030000000200
"커피, 디저트, 음악, 인테리어, 분위기까지 완벽했습니다. ... 직원분도 친절하고 공간 곳곳에 감성이 살아 있어서","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정), 서비스(긍정)",100001011000
"달달하구 맛있어용 수요일 저녁인데 대기 별로안하고 바로 들어왔어용","대상 모호(긍정), 혼잡도_웨이팅(긍정)",000000000001
"커피 가격이 합리적이고 맛도 좋습니다","커피음료(긍정), 가격가성비(긍정)",100000000100
"빙수 넘 맛있어요 알바생들 존잘 존예","빙수과일(긍정), 서비스(긍정)",000010001000
"여기 커피랑 도넛 진짜 맛있어요!!","커피음료(긍정), 기타디저트(긍정)",100001000000
"케이크는 담백하면서 버터향이 은은하게 퍼져서 커피랑 찰떡 조합이에요","커피음료(긍정), 케이크(긍정)",101000000000
"사장님 친절하시고 휘낭시에 너무 맛있어요!!","쿠키구움과자(긍정), 서비스(긍정)",000100001000
"페스츄리 호떡이라서 먹어보지 않을수가 없었답니다.? 커피도 맛있구 디저트도 맛있습니더!","커피음료(긍정), 베이커리빵(긍정), 기타디저트(긍정)",110001000000
"외관보다 내부 분위기 좋구 은은히 나오는 재즈 음악에 채광 좋아 대화 나누기 좋았어요 )","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"서울숲섬타르 시그니처메뉴인 에그커피. 유정란에그타트 맛있네요","커피음료(긍정), 쿠키구움과자(긍정)",100100000000
"불친절하고 맛없고 시끄러움 테이블등 더러움","대상 모호(부정), 공간편의시설(부정), 서비스(부정), 혼잡도_웨이팅(부정)",000000202002
"뷰가 넘 예뻐요 비오는 날 운치있네요!","분위기감성(긍정)",000000010000
"커피도 너무 맛있었고, 친절하시어 더욱 좋았어요","커피음료(긍정), 서비스(긍정)",100000001000
"모임하러 10명 왔는데 너무 좋아요 음식도 맛있고 분위기도 좋아요","공간편의시설(긍정), 분위기감성(긍정)",000000110000
"까눌레랑 음료가 너무 맛있어요! 서비스로 휘낭시에도 주셔서 잘 먹었습니다","커피음료(긍정), 쿠키구움과자(긍정)",100100000000
"에그인헬도 따뜻하고 좋았고 살짝 매콤해요! 잼 고르는 재미도 있고 즐거웠습니다))","베이커리빵(긍정), 서비스(긍정)",010000001000
"소금빵 종류가 많았고, 맛있었습니다","베이커리빵(긍정)",010000000000
"성수동 오면 들러줘야하는 베이글 맛집 너무너무너무 맛있습니다 기본 베이글은 올때마다 품절.","베이커리빵(긍정), 혼잡도_웨이팅(부정)",010000000002
"밀크티 짱 맛있고 벌써 크리스마스 분위기라 좋아요 사진 짱 잘나와요","커피음료(긍정), 분위기감성(긍정)",100000010000
"정말 오렌지 하나를 다 갈아 넣어주셔서 엄청 상큼했고 쿠키는 왕귀여운데 쫀득하고 바삭해서... 사장님이 친절하게 음료 추천도 해주셔서","커피음료(긍정), 쿠키구움과자(긍정), 서비스(긍정)",100100001000
"이거 먹으러 성수온건데 너무 맛있었어요","대상 모호(긍정)",000000000000
"케이크 예약주문했는데 넘 귀엽고 크기도 적당해서 좋았어요!! 매장도 넓고 분위기도 좋아서","케이크(긍정), 공간편의시설(긍정), 분위기감성(긍정), 서비스(긍정)",001000111000
"커피는 맛있어요 빵은... 분위기 좋네요!","커피음료(긍정), 베이커리빵(중립), 분위기감성(긍정)",130000010000
"시나본은 말해뭐해 너무 맛있어요 아메리카노 천오백원 실화?","커피음료(긍정), 기타디저트(긍정), 가격가성비(긍정)",100001000100
"보카도는 바삭하고 짭쪼름한게 매력적이었어요. ... 전체적으로 만족합니다","베이커리빵(긍정)",010000000000
"활동적이고 분위기도 너무 좋아요bb","분위기감성(긍정)",000000010000
